"price","bedroom","sqft","bathroom","amenity_count","cityid","cityname","citypopulation"
4999,3,1250,1.5,4,2,"San Francisco",815201
3625,1,900,1,7,2,"San Francisco",815201
2732,2,1151,2,8,2,"San Francisco",815201
2800,0,467,1,6,2,"San Francisco",815201
5990,3,1700,2,4,2,"San Francisco",815201
6990,5,1600,2,6,2,"San Francisco",815201
3611,0,479,1,8,2,"San Francisco",815201
3596,1,800,1,6,2,"San Francisco",815201
2636,0,543,1,9,2,"San Francisco",815201
3625,1,655,1,7,2,"San Francisco",815201
2801,1,600,1,3,2,"San Francisco",815201
1150,3,220,2,4,2,"San Francisco",815201
3995,2,775,1,6,2,"San Francisco",815201
3600,3,1415,2.5,5,2,"San Francisco",815201
2575,1,768,1,6,2,"San Francisco",815201
4300,2,917,2,8,2,"San Francisco",815201
2522,0,528,1,5,2,"San Francisco",815201
4269,2,1042,2,9,2,"San Francisco",815201
2331,0,356,1,9,2,"San Francisco",815201
3375,2,679,1,6,2,"San Francisco",815201
2941,1,600,1,3,2,"San Francisco",815201
5000,5,1000,1.5,5,2,"San Francisco",815201
2490,0,472,1,3,2,"San Francisco",815201
4177,2,1099,2,6,2,"San Francisco",815201
1300,0,250,1,5,2,"San Francisco",815201
2765,1,762,1,8,2,"San Francisco",815201
5000,4,1850,2,5,2,"San Francisco",815201
1750,0,550,1,5,2,"San Francisco",815201
2414,0,370,1,9,2,"San Francisco",815201
1400,0,740,1,3,2,"San Francisco",815201
2785,1,635,1,3,2,"San Francisco",815201
3995,2,1000,1.5,5,2,"San Francisco",815201
1700,0,244,1,5,2,"San Francisco",815201
3561,1,721,1,6,2,"San Francisco",815201
3610,1,704,1,7,2,"San Francisco",815201
4700,4,1200,1.5,6,2,"San Francisco",815201
1191,1,600,1,5,1,"Austin",964177
1425,1,526,1,5,1,"Austin",964177
1266,1,578,1,5,1,"Austin",964177
1144,1,351,1,8,1,"Austin",964177
1775,4,1236,2,8,1,"Austin",964177
2080,1,750,1,5,1,"Austin",964177
1203,1,700,1,5,1,"Austin",964177
1235,1,625,1,5,1,"Austin",964177
1735,1,576,1,5,1,"Austin",964177
1958,2,1126,2,5,1,"Austin",964177
1784,1,741,1,5,1,"Austin",964177
1226,1,506,1,5,1,"Austin",964177
1138,1,700,1,5,1,"Austin",964177
1721,2,1037,2,5,1,"Austin",964177
1987,1,843,1,5,1,"Austin",964177
1291,2,950,2,5,1,"Austin",964177
1499,2,1053,2,5,1,"Austin",964177
1040,0,222,1,8,1,"Austin",964177
1803,1,840,1,5,1,"Austin",964177
1246,1,540,1,5,1,"Austin",964177
1319,1,553,1,5,1,"Austin",964177
1203,1,750,1,5,1,"Austin",964177
2400,2,1497,2,3,1,"Austin",964177
1900,3,1541,2,3,1,"Austin",964177
1070,0,275,1,3,1,"Austin",964177
2900,4,3346,3.5,3,1,"Austin",964177
2750,4,2750,2.5,3,1,"Austin",964177
1020,0,222,1,8,1,"Austin",964177
1604,3,1055,2,8,1,"Austin",964177
2500,3,1462,2.5,5,1,"Austin",964177
1335,1,728,1,5,1,"Austin",964177
2500,2,1050,2,5,1,"Austin",964177
2279,2,1155,2,5,1,"Austin",964177
1541,1,777,1,5,1,"Austin",964177
1692,1,707,1,5,1,"Austin",964177
2053,3,1350,2,5,1,"Austin",964177
2330,3,1436,2,6,1,"Austin",964177
1281,1,625,1,5,1,"Austin",964177
1541,1,777,1,5,1,"Austin",964177
2375,2,1206,2,6,1,"Austin",964177
2369,2,1203,2,6,1,"Austin",964177
1045,0,235,1,8,1,"Austin",964177
1496,1,586,1,6,1,"Austin",964177
1498,1,582,1,6,1,"Austin",964177
1500,1,581,1,6,1,"Austin",964177
2371,2,1205,2,6,1,"Austin",964177
1501,1,578,1,6,1,"Austin",964177
2146,2,912,2,6,1,"Austin",964177
2144,2,909,2,6,1,"Austin",964177
2150,2,911,2,6,1,"Austin",964177
1849,1,627,1,6,1,"Austin",964177
1853,1,825,1,6,1,"Austin",964177
2650,2,1060,2,6,1,"Austin",964177
1771,1,530,1,6,1,"Austin",964177
1850,1,822,1,6,1,"Austin",964177
1855,1,826,1,6,1,"Austin",964177
1070,0,275,1,3,1,"Austin",964177
2656,2,1068,2,6,1,"Austin",964177
2658,2,1069,2,6,1,"Austin",964177
1772,1,527,1,6,1,"Austin",964177
1773,1,531,1,6,1,"Austin",964177
2655,2,1065,2,6,1,"Austin",964177
2472,2,1082,2,6,1,"Austin",964177
820,1,990,1,5,1,"Austin",964177
2470,2,1081,2,6,1,"Austin",964177
1858,2,1078,2,6,1,"Austin",964177
1740,1,655,1,6,1,"Austin",964177
2473,2,1077,2,6,1,"Austin",964177
1737,1,650,1,6,1,"Austin",964177
1739,1,656,1,6,1,"Austin",964177
1441,1,641,1,6,1,"Austin",964177
2472,2,1082,2,6,1,"Austin",964177
1440,1,639,1,6,1,"Austin",964177
1860,2,1079,2,6,1,"Austin",964177
1320,0,534,1,6,1,"Austin",964177
1436,1,640,1,6,1,"Austin",964177
1321,0,533,1,6,1,"Austin",964177
1075,0,275,1,3,1,"Austin",964177
2225,2,1086,2,6,1,"Austin",964177
2224,2,1087,2,6,1,"Austin",964177
4450,4,1900,2,7,1,"Austin",964177
1345,0,400,1,7,1,"Austin",964177
2222,2,1083,2,6,1,"Austin",964177
2220,2,1085,2,6,1,"Austin",964177
1623,1,644,1,6,1,"Austin",964177
1627,1,650,1,6,1,"Austin",964177
1626,1,646,1,5,1,"Austin",964177
1775,4,1236,2,8,1,"Austin",964177
1169,1,351,1,3,1,"Austin",964177
4230,4,2145,2.5,5,1,"Austin",964177
1770,2,1080,2,3,1,"Austin",964177
3500,2,1000,2,7,1,"Austin",964177
2500,2,1200,2,7,1,"Austin",964177
1800,1,3526,1.5,3,1,"Austin",964177
2100,3,1556,2,3,1,"Austin",964177
1750,2,1000,1.5,3,1,"Austin",964177
4500,6,3247,4.5,3,1,"Austin",964177
1575,2,1959,1.5,3,1,"Austin",964177
3100,3,2099,3,3,1,"Austin",964177
2150,2,830,2,3,1,"Austin",964177
1800,2,836,1,3,1,"Austin",964177
2300,3,1375,2,3,1,"Austin",964177
1550,1,535,1,3,1,"Austin",964177
2250,2,904,2,3,1,"Austin",964177
2350,2,1122,2,3,1,"Austin",964177
1995,3,1837,2.5,3,1,"Austin",964177
2350,2,884,2,3,1,"Austin",964177
2395,2,1100,2,3,1,"Austin",964177
1375,1,576,1,3,1,"Austin",964177
1800,1,3526,1.5,3,1,"Austin",964177
1850,3,1564,2.5,3,1,"Austin",964177
2395,3,1204,2,3,1,"Austin",964177
1950,3,1431,2,3,1,"Austin",964177
1075,0,275,1,3,1,"Austin",964177
1795,2,1007,2,3,1,"Austin",964177
2350,2,904,2,3,1,"Austin",964177
4400,4,3202,3,3,1,"Austin",964177
1495,2,1872,1.5,3,1,"Austin",964177
1375,1,545,1,3,1,"Austin",964177
2300,3,2028,2.5,3,1,"Austin",964177
1150,1,683,1,3,1,"Austin",964177
1475,1,712,1,3,1,"Austin",964177
2300,3,1203,2,3,1,"Austin",964177
1095,1,555,1,3,1,"Austin",964177
2750,3,2152,2,3,1,"Austin",964177
2250,2,1072,2.5,3,1,"Austin",964177
1700,2,1012,1.5,3,1,"Austin",964177
2400,3,1817,3,3,1,"Austin",964177
2995,2,3660,1,3,1,"Austin",964177
3950,3,1444,4,3,1,"Austin",964177
2095,3,1206,2,3,1,"Austin",964177
2600,3,1054,2,3,1,"Austin",964177
1150,1,661,1,3,1,"Austin",964177
2300,3,1559,2.5,3,1,"Austin",964177
1800,2,836,1,3,1,"Austin",964177
2350,2,884,2,3,1,"Austin",964177
1350,1,450,1,3,1,"Austin",964177
1295,0,380,1,3,1,"Austin",964177
1900,1,615,1,3,1,"Austin",964177
1495,1,550,1,3,1,"Austin",964177
950,0,15492,1,3,1,"Austin",964177
1220,0,400,1,3,1,"Austin",964177
1220,0,400,1,3,1,"Austin",964177
2657,2,1083,2,7,1,"Austin",964177
2657,2,1083,2,8,1,"Austin",964177
1124,1,351,1,3,1,"Austin",964177
1070,0,275,1,3,1,"Austin",964177
1775,4,1236,2,8,1,"Austin",964177
4450,4,1900,2,7,1,"Austin",964177
1430,2,750,1,5,1,"Austin",964177
1575,2,900,2,6,1,"Austin",964177
1345,0,400,1,6,1,"Austin",964177
1100,3,1429,2,3,1,"Austin",964177
1124,1,351,1,3,1,"Austin",964177
1670,1,705,1,9,1,"Austin",964177
1447,1,752,1,9,1,"Austin",964177
1699,1,840,1,9,1,"Austin",964177
1540,1,680,1,9,1,"Austin",964177
1795,1,870,1,9,1,"Austin",964177
1295,1,692,1,5,1,"Austin",964177
2425,2,1215,2,9,1,"Austin",964177
1347,1,642,1,9,1,"Austin",964177
1855,1,695,1,9,1,"Austin",964177
1144,1,351,1,3,1,"Austin",964177
1070,0,275,1,3,1,"Austin",964177
1548,3,1145,2,5,1,"Austin",964177
1380,1,582,1,8,1,"Austin",964177
1740,1,740,1,9,1,"Austin",964177
1545,1,752,1,8,1,"Austin",964177
1475,1,740,1,8,1,"Austin",964177
1525,1,640,1,8,1,"Austin",964177
1070,0,275,1,8,1,"Austin",964177
1715,2,845,2,8,1,"Austin",964177
1380,2,882,1,8,1,"Austin",964177
1775,4,1236,2,8,1,"Austin",964177
1715,2,870,2,8,1,"Austin",964177
1256,1,660,1,6,1,"Austin",964177
2420,3,1147,2,5,1,"Austin",964177
2125,2,1050,2,8,1,"Austin",964177
1460,2,1000,2,6,1,"Austin",964177
2074,3,1440,2,7,1,"Austin",964177
1165,1,600,1,6,1,"Austin",964177
1495,2,1025,2,7,1,"Austin",964177
1495,2,1025,2,7,1,"Austin",964177
1495,2,1025,2,7,1,"Austin",964177
1495,2,1025,2,7,1,"Austin",964177
1515,2,1025,2,7,1,"Austin",964177
1515,2,1025,2,7,1,"Austin",964177
1421,2,900,1,8,1,"Austin",964177
1421,2,900,1,8,1,"Austin",964177
974,0,288,1,3,1,"Austin",964177
1429,0,492,1,6,1,"Austin",964177
1040,0,222,1,3,1,"Austin",964177
1791,1,725,1,6,1,"Austin",964177
1431,0,497,1,6,1,"Austin",964177
2237,2,1085,2,6,1,"Austin",964177
1793,1,728,1,6,1,"Austin",964177
2075,2,1050,2,8,1,"Austin",964177
1650,2,845,2,8,1,"Austin",964177
1995,2,1050,2,8,1,"Austin",964177
1650,2,870,2,8,1,"Austin",964177
2175,3,1300,2,7,1,"Austin",964177
3314,2,1097,2,8,1,"Austin",964177
1432,0,494,1,6,1,"Austin",964177
1790,1,727,1,6,1,"Austin",964177
1144,1,351,1,3,1,"Austin",964177
1210,1,512,1,8,1,"Austin",964177
2395,3,1449,2,6,1,"Austin",964177
1150,1,512,1,8,1,"Austin",964177
2849,4,1882,2.5,6,1,"Austin",964177
2299,3,1529,2.5,6,1,"Austin",964177
2470,2,1238,2,6,1,"Austin",964177
1195,1,675,1,8,1,"Austin",964177
1370,1,722,1,7,1,"Austin",964177
2478,2,1231,2,6,1,"Austin",964177
1525,1,725,1,7,1,"Austin",964177
1195,1,675,1,8,1,"Austin",964177
1725,1,832,1,8,1,"Austin",964177
1310,1,512,1,8,1,"Austin",964177
2473,2,1235,2,6,1,"Austin",964177
2280,2,1166,2,6,1,"Austin",964177
1520,1,604,1,6,1,"Austin",964177
1070,0,275,1,3,1,"Austin",964177
2476,2,1237,2,6,1,"Austin",964177
1578,1,620,1,6,1,"Austin",964177
1518,1,602,1,6,1,"Austin",964177
1518,1,601,1,6,1,"Austin",964177
2283,2,1167,2,6,1,"Austin",964177
2283,2,1165,2,6,1,"Austin",964177
2281,2,1165,2,6,1,"Austin",964177
1600,2,950,1,2,1,"Austin",964177
1310,1,512,1,8,1,"Austin",964177
1345,1,665,1,8,1,"Austin",964177
1195,1,675,1,8,1,"Austin",964177
1245,1,665,1,8,1,"Austin",964177
1310,1,512,1,8,1,"Austin",964177
1124,1,484,1,6,1,"Austin",964177
1443,1,681,1,5,1,"Austin",964177
1567,1,619,1,6,1,"Austin",964177
3100,3,1707,3,5,1,"Austin",964177
3500,3,1954,3,5,1,"Austin",964177
2750,3,1706,2,3,1,"Austin",964177
