price,bedroom,sqft,bathroom,amenity_count,cityID
2500,3,1100.0,1.0,8,4
2850,3,1050.0,1.0,4,4
3440,2,675.0,1.0,3,4
1959,1,847.0,1.0,6,4
2800,1,650.0,1.0,5,4
3200,2,1029.0,1.0,7,4
2300,2,1085.0,1.0,4,4
2400,1,624.0,1.0,5,4
2450,2,1200.0,1.0,5,4
1795,2,775.0,1.0,3,4
1725,2,785.0,1.0,3,4
1450,2,750.0,1.0,5,4
3000,3,1100.0,1.0,2,4
1995,0,405.0,1.0,6,4
2250,1,490.0,1.0,7,4
3400,5,1850.0,2.0,3,4
1826,2,792.0,1.0,5,4
2950,2,1000.0,1.0,9,4
3100,2,1100.0,1.5,6,4
2312,2,1031.0,2.0,5,4
2255,2,925.0,1.5,5,4
3289,2,1208.0,2.0,5,4
2625,1,1046.0,1.0,5,4
2454,1,842.0,1.0,5,4
2851,1,1231.0,1.0,5,4
2656,1,1076.0,1.0,5,4
3650,3,1950.0,2.5,8,4
2950,2,1062.0,2.0,6,4
1750,3,900.0,1.0,4,4
2200,1,1000.0,1.0,10,4
2300,3,800.0,1.0,5,4
2695,2,850.0,1.0,4,4
3160,2,1060.0,2.0,11,4
3610,1,755.0,1.0,5,4
2995,1,914.0,1.0,5,4
4094,2,1339.0,2.0,5,4
2999,0,465.0,1.0,7,4
2604,1,899.0,1.0,3,4
4284,1,829.0,1.0,5,4
2350,2,975.0,2.0,5,4
2511,1,747.0,1.0,5,4
2400,2,1100.0,1.0,4,4
4895,3,1060.0,1.5,7,4
7000,4,1780.0,3.0,6,4
3450,2,1073.0,2.0,7,4
2650,1,708.0,1.0,3,4
2850,3,1450.0,2.0,4,4
2250,1,490.0,1.0,7,4
3900,2,1100.0,1.0,5,4
2450,2,1200.0,1.0,5,4
1995,0,405.0,1.0,6,4
2200,0,430.0,1.0,6,4
2300,0,640.0,1.0,9,4
3200,3,1000.0,1.0,3,4
2967,2,1000.0,2.0,8,4
1150,1,450.0,1.0,4,4
2090,1,681.0,1.0,7,4
1824,1,700.0,1.0,3,4
2600,4,1506.0,1.0,4,4
2225,1,652.0,1.0,5,4
2050,1,1050.0,1.0,8,4
2399,1,750.0,1.0,6,4
2188,3,1450.0,1.5,6,4
3731,2,1050.0,2.0,8,4
1893,2,1070.0,1.0,6,4
1473,0,358.0,1.0,6,4
2700,2,1000.0,1.0,6,4
2395,2,775.0,1.0,6,4
2200,1,855.0,1.0,6,4
3600,3,1600.0,2.0,4,4
2900,3,1600.0,2.0,6,4
2650,1,600.0,1.0,3,4
2400,0,450.0,1.0,3,4
2300,0,400.0,1.0,7,4
2600,2,1200.0,1.5,4,4
2784,1,650.0,1.0,8,4
2350,1,600.0,1.0,5,4
2600,2,850.0,1.0,7,4
4849,2,1194.0,2.0,8,4
1986,1,560.0,1.0,5,4
1600,1,800.0,1.0,4,4
3270,2,700.0,1.0,8,4
2500,2,1014.0,1.0,6,4
3097,3,1666.0,2.0,4,4
2550,1,720.0,1.0,6,4
3475,0,508.0,1.0,9,4
5000,3,2200.0,3.0,8,4
4498,2,1010.0,2.0,10,4
3971,2,860.0,2.0,10,4
3199,1,585.0,1.0,10,4
3174,1,756.0,1.0,10,4
2712,0,496.0,1.0,10,4
2702,0,526.0,1.0,10,4
2600,2,860.0,1.0,4,4
3700,2,825.0,1.0,7,4
1750,2,900.0,1.0,0,4
2999,3,1200.0,1.0,4,4
1000,5,4500.0,2.0,3,4
1150,2,625.0,1.0,3,4
2900,2,1000.0,1.0,6,4
2734,2,1000.0,1.0,3,4
3300,2,980.0,2.0,10,4
1600,1,650.0,1.0,4,4
2280,1,825.0,1.0,3,4
5800,5,2200.0,2.0,6,4
2350,2,950.0,1.0,3,4
3200,1,725.0,1.0,4,4
2700,3,1100.0,1.0,3,4
2525,2,1000.0,1.0,6,4
3200,3,1300.0,1.0,5,4
2050,1,785.0,1.0,8,4
2185,1,947.0,2.0,7,4
6000,4,3200.0,2.5,5,4
1250,0,400.0,1.0,4,4
2275,1,690.0,1.0,5,4
5000,3,2200.0,3.0,8,4
2790,3,900.0,1.0,8,4
5500,5,2000.0,2.0,4,4
2900,2,1200.0,1.0,5,4
2699,1,678.0,1.0,8,4
2250,2,1050.0,1.0,3,4
2850,3,1100.0,1.5,6,4
3900,2,750.0,1.0,5,4
2400,2,950.0,1.0,7,4
2000,1,700.0,1.0,6,4
1944,1,809.0,1.0,6,4
3200,2,1276.0,2.0,5,4
1500,1,270.0,1.0,3,4
