price,bedroom,sqft,bathroom,amenity_count,cityid,pop_class
1475,1,700.0,1.0,6,1,2
1195,1,514.0,1.0,6,1,2
1558,2,1050.0,2.0,6,1,2
2250,2,1080.0,1.5,7,1,2
1525,0,298.0,1.0,3,1,2
1300,1,753.0,1.0,3,1,2
1103,0,400.0,1.0,7,1,2
1446,4,1236.0,2.0,8,1,2
1165,1,705.0,1.0,6,1,2
1967,2,1084.0,2.0,6,1,2
1710,1,759.0,1.0,6,1,2
1523,1,623.0,1.0,6,1,2
3235,2,1510.0,2.0,9,1,2
900,0,244.0,1.0,5,1,2
1938,2,1100.0,1.0,6,1,2
1395,1,739.0,1.0,8,1,2
1666,2,860.0,1.0,6,1,2
2172,2,1232.0,2.0,6,1,2
2000,2,1010.0,2.0,3,1,2
2000,2,1010.0,2.0,3,1,2
1595,2,950.0,2.0,6,1,2
2000,2,1010.0,2.0,3,1,2
2499,1,891.0,1.0,3,1,2
2502,0,448.0,1.0,3,1,2
1999,1,759.0,1.0,3,1,2
1999,1,759.0,1.0,3,1,2
1890,1,768.0,1.0,3,1,2
2252,1,796.0,1.0,3,1,2
2312,1,868.0,1.0,3,1,2
1999,1,759.0,1.0,3,1,2
1671,1,591.0,1.0,0,1,2
1890,1,768.0,1.0,3,1,2
1380,1,753.0,1.0,3,1,2
1685,1,685.0,1.0,9,1,2
1765,1,903.0,1.0,9,1,2
1750,1,900.0,2.0,7,1,2
1165,1,705.0,1.0,6,1,2
2125,2,1080.0,2.0,9,1,2
1144,1,351.0,1.0,3,1,2
2040,1,750.0,1.0,9,1,2
899,0,288.0,1.0,7,1,2
2340,1,865.0,1.0,9,1,2
2201,4,1627.0,2.0,7,1,2
2370,1,860.0,1.0,9,1,2
1065,0,222.0,1.0,3,1,2
2450,2,1275.0,2.0,9,1,2
944,0,288.0,1.0,7,1,2
2350,3,1432.0,2.0,6,1,2
2360,1,860.0,1.0,9,1,2
2649,3,1529.0,2.5,6,1,2
1579,1,800.0,1.0,7,1,2
1655,1,693.0,1.0,9,1,2
2675,2,1250.0,2.0,9,1,2
2299,3,1529.0,2.5,6,1,2
1575,1,804.0,1.0,7,1,2
3508,2,1156.0,2.0,8,1,2
2312,2,1251.0,2.0,8,1,2
2675,2,1250.0,2.0,9,1,2
1125,1,705.0,1.0,6,1,2
1765,1,903.0,1.0,8,1,2
1465,1,768.0,1.0,8,1,2
1225,2,920.0,1.0,6,1,2
1545,1,750.0,1.0,9,1,2
1999,1,785.0,1.0,9,1,2
3215,2,1199.0,2.0,9,1,2
1310,1,705.0,1.0,6,1,2
1670,1,740.0,1.0,9,1,2
2325,1,840.0,1.0,9,1,2
1550,2,930.0,2.0,6,1,2
1765,1,750.0,1.0,8,1,2
1760,1,648.0,1.0,6,1,2
1507,1,683.0,1.0,6,1,2
2675,4,2033.0,2.5,6,1,2
1923,2,978.0,2.0,6,1,2
2440,2,1040.0,2.0,8,1,2
3260,2,1570.0,2.0,9,1,2
1695,2,930.0,2.0,6,1,2
1125,1,705.0,1.0,6,1,2
2395,1,865.0,1.0,9,1,2
