date,title,link,price,brs,sqft,hood,bath,amenities
Oct  1,"1B+Office/WFH/Waterview/Doorman/Housecleaning, parking/SOMAGrand",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1boffice-wfh-waterview/7199499488.html,2700,1,650.0,SOMA / south beach,1Ba,"['EV charging', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,Where Convenience Meets Luxury.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-where-convenience-meets/7206603950.html,2770,1,690.0,SOMA / south beach,1Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,"Unparalleled Service, Unbeatable Value",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-unparalleled-service/7206603868.html,2906,1,748.0,SOMA / south beach,1Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage']"
Oct  1,"Stunning Apt with Large Kitchen, Private Deck",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stunning-apt-with-large/7206594202.html,3575,3,,mission district,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'street parking']"
Oct  1,Fall In Love With A Higher Quality of Living,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fall-in-love-with-higher/7206600572.html,3549,1,790.0,SOMA / south beach,1Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,"Always Fresh, Forever Original",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-always-fresh-forever/7206603015.html,2880,,622.0,lower pac hts,1Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage']"
Oct  1,Spacious 3 Bed 2 Bath with 1 Car garage,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-3-bed-2-bath/7206595183.html,4750,3,1050.0,Lower Pacific Heights,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'no smoking', 'carport']"
Oct  1,12 months free parking! Virtual tour offered! 10 WEEKS FREE RENT!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-12-months-free-parking/7206602022.html,3884,2,943.0,potrero hill,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'wheelchair accessible']"
Oct  1,Large 2 Bed/2 Bath in the Mission; Built in 2015 - $4500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-2-bed-2-bath-in-the/7206601698.html,4500,2,1140.0,mission district,2Ba,"['apartment', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,Available Now! 2 Bedroom Apartments at Modera Rincon Hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-available-now-2-bedroom/7206601692.html,3412,2,916.0,financial district,2Ba,"['EV charging', 'application fee details: $50', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'street parking', 'wheelchair accessible']"
Oct  1,Two Months Free! Studio in a High Rise! Rent Controlled,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-two-months-free-studio-in/7206586455.html,2350,,,nob hill,1Ba,"['cats are OK - purrr', 'apartment', 'laundry on site', 'attached garage']"
Oct  1,Remodeled Signature 1BR-1Bath w/Spectacular Bay Views In Cow Hollow.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-signature-1br/7199501343.html,4000,1,,marina / cow hollow,1Ba,"['apartment', 'laundry on site', 'no smoking', 'attached garage']"
Oct  1,Modern & Remodeled Top Floor Apartment,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-remodeled-top/7201955230.html,2300,1,600.0,inner sunset / UCSF,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,Designed for live and work from home!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-designed-for-live-and/7206594463.html,4995,3,1236.0,lower haight,2Ba,"['application fee details: $40 per applicant', 'dogs are OK - wooof', 'flat', 'w/d in unit', 'attached garage']"
Oct  1,Modern 1 Bedroom apartment on Brand New Building,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-1-bedroom/7206599951.html,1965,1,595.0,financial district,1Ba,"['EV charging', 'application fee details: $50', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'street parking', 'wheelchair accessible']"
