price,bedroom,sqft,neighborhood,bathroom,amenity_count,cityID
1980,2,995.0,Conroy Park,2,5,1
1666,1,688.0,East Riverside,1,5,1
1674,2,976.0,South Austin,2,5,1
1560,2,1122.0,Teravista,2,5,1
1674,2,976.0,South Austin,2,5,1
1896,1,776.0,South Central on the lake,1,5,1
2309,3,1451.0,North Austin,2,6,1
1334,1,569.0,North Loop,1,5,1
1227,1,575.0,Bee Caves,1,5,1
1400,1,811.0,South Austin,1,5,1
1978,2,991.0,SOUTH AUSTIN,2,5,1
1537,1,907.0,South West Austin,1,5,1
1675,2,1100.0,southeast,2,5,1
1974,2,976.0,South Austin,2,5,1
1420,1,679.0,South,1,5,1
1430,1,688.0,Windsor Park,1,5,1
1250,1,604.0,Round Rock,1,5,1
1855,1,692.0,East side,1,5,1
1675,2,1101.0,southeast,2,5,1
1894,2,978.0,EASTSIDE,2,5,1
1799,1,661.0,Downtown,1,5,1
1227,1,575.0,Bee Caves,1,5,1
1299,1,630.0,South Austin,1,5,1
2338,2,1110.0,East Riverside,2,5,1
2500,3,1462.0,Southwest Austin,2.5,5,1
1300,1,641.0,North Austin,1,6,1
1795,1,734.0,Eastside / Downtown,1,5,1
2590,2,1143.0,Eastside,2,5,1
1365,1,681.0,South Austin,1,5,1
1882,1,732.0,Brentwood,1,5,1
2279,2,1155.0,South Lamar,2,5,1
1689,3,1576.0,Southwest,2,5,1
2328,2,1095.0,Eastside / Downtown,2,5,1
2338,2,1110.0,East Riverside,2,5,1
2332,1,890.0,Eastside / Downtown,1,5,1
2328,2,1095.0,Eastside / Downtown,2,5,1
2032,1,890.0,Eastside / Downtown,1,5,1
1854,1,692.0,Eastside / Downtown,1,5,1
1898,1,712.0,Central Austin,1,5,1
2800,2,1200.0,South Lamar,2,5,1
1674,2,976.0,South Austin,2,5,1
1380,2,882.0,"8617 Spicewood Springs Rd, Austin, TX",1,8,1
1510,2,1033.0,South Austin,2,5,1
2628,2,1095.0,Eastside / Downtown,2,5,1
1359,1,684.0,West Austin,1,5,1
1874,0,561.0,East Austin,1,5,1
1325,1,661.0,Bee caves,1,5,1
2225,3,1440.0,Georgetown,2,6,1
1446,4,1236.0,"2500 Louis Henna Boulevard, Round Rock, TX",2,8,1
2095,1,895.0,East Riverside Riverside Pleasant Valley,1,9,1
1590,1,685.0,East Austin,1,9,1
1599,1,685.0,East Austin,1,9,1
1725,1,750.0,East Austin Downtown,1,9,1
1465,1,736.0,Georgetown,1,7,1
2200,4,1938.0,Hutto,2,8,1
1665,1,786.0,East Riverside Riverside Pleasant Valley,1,9,1
1400,1,650.0,Leander,1,3,1
1715,1,850.0,East Austin,1,9,1
1915,1,715.0,Central Austin Cherrywood UT Mueller Manor Triangle,1,9,1
1670,1,702.0,East Austin Manor MLK,1,9,1
1750,2,1070.0,Austin,2,7,1
1395,1,630.0,Austin,1,7,1
1325,1,630.0,Austin,1,7,1
1345,1,630.0,Austin,1,7,1
1124,1,351.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
1395,1,630.0,Austin,1,7,1
2395,2,1215.0,Sunset Valley South Austin Oak Hill South Lamar,2,9,1
3365,1,920.0,Downtown,1,9,1
2230,2,1170.0,South Austin South Lamar Sunset Valley,2,9,1
1050,1,600.0,Campus/ Central,1,6,1
1050,0,400.0,North Campus,1,6,1
3360,1,980.0,Downtown,1,9,1
2170,1,775.0,East 6th St East Cesar Chavez Rainey Street,1,9,1
1175,1,533.0,Northwest/183,1,5,1
2540,2,1450.0,East Austin Manor MLK,2,9,1
1347,2,900.0,Northwest/183,1,5,1
2399,2,1010.0,North Loop Hyde Park Muller Triangle,2,9,1
1160,1,500.0,South Austin,1,8,1
2265,2,1170.0,South Austin South Lamar Sunset Valley,2,9,1
1671,1,591.0,Austin,1,3,1
1999,1,759.0,Austin,1,3,1
2500,1,842.0,Austin,1,3,1
2335,2,1010.0,North Loop Hyde Park Muller Triangle,2,9,1
1376,1,612.0,Northwest,1,6,1
1552,2,1014.0,Northwest/183,2,5,1
2225,2,1100.0,Oak Hill,2,7,1
1345,0,420.0,Barton Hills,1,4,1
1025,1,550.0,Travis Heights,1,6,1
1540,1,843.0,South Austin Onion Creek Southpark Meadows,1,9,1
1295,1,550.0,Barton Hills,1,3,1
1475,1,745.0,South Austin Onion Creek Southpark Meadows,1,9,1
2365,1,860.0,Downtown East Austin,1,9,1
1839,1,880.0,East Riverside Riverside Pleasant Valley,1,9,1
1070,0,275.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
1625,1,695.0,The Domain North Austin,1,9,1
1465,1,686.0,Round Rock,1,5,1
1325,1,576.0,Georgetown,1,5,1
1465,1,686.0,Round Rock,1,5,1
1810,2,1170.0,Round Rock,2,5,1
2350,3,1410.0,Georgetown,2,5,1
1465,1,686.0,Round Rock,1,5,1
1495,2,1175.0,Austin,2,5,1
1445,2,850.0,Round Rock,1,5,1
1525,2,1000.0,Round Rock,2,3,1
1890,2,998.0,Round  Rock,2,3,1
1203,1,750.0,South of 183 Near Steck,1,5,1
1630,1,739.0,East Austin Govalle,1,9,1
1465,1,686.0,Round Rock,1,5,1
1639,1,686.0,East Riverside Riverside Pleasant Valley,1,7,1
3750,3,1998.0,Mueller,2.5,5,1
2900,3,2237.0,Travisso,2.5,5,1
2080,1,931.0,Barton Hills 360 Barton Creek,1,9,1
1810,2,998.0,Round  Rock,2,5,1
899,0,288.0,"9220 N Interstate Hwy 35, Austin, TX",1,7,1
1200,1,600.0,Mueller Area,1,6,1
1465,1,686.0,Round Rock,1,5,1
1465,1,686.0,Round Rock,1,5,1
1686,1,750.0,Georgetown,1,5,1
1580,1,854.0,South Austin Onion Creek Southpark,1,8,1
1495,2,1175.0,Austin,2,6,1
1810,2,998.0,Round  Rock,2,3,1
1515,1,714.0,Austin,1,5,1
1550,1,720.0,Georgetown,1,5,1
1465,1,686.0,Georgetown,1,3,1
1465,1,686.0,Round Rock,1,5,1
2009,1,738.0,Cedar Park,1,3,1
2675,2,1198.0,South Lamar Barton Hills Zilker Galindo,2,9,1
2075,1,778.0,East 6th St East Cesar Chavez Rainey Street,1,9,1
2603,0,448.0,Austin,1,3,1
3002,1,692.0,Austin,1,3,1
1199,0,400.0,Austin,1,3,1
1969,1,638.0,Austin,1,3,1
1621,1,591.0,Austin,1,3,1
1844,1,778.0,Austin,1,3,1
1459,1,633.0,Lease today for 1 month free and $500 gift card! $250 Dep,1,5,1
1099,1,527.0,East central austin,1,5,1
1070,0,275.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
2960,2,1019.0,East 6th St East Cesar Chavez Rainey Street,2,9,1
1375,1,705.0,Round Rock,1,6,1
1467,1,650.0,Austin,1,7,1
2080,1,765.0,South Lamar Barton Hills Zilker Galindo,1,9,1
1165,1,705.0,Round Rock,1,6,1
1458,1,654.0,Pflugerville,1,6,1
1299,1,722.0,Austin,1,5,1
1409,1,633.0,Round Rock,1,6,1
1475,1,700.0,Austin,1,6,1
1195,1,514.0,South Austin,1,6,1
1558,2,1050.0,Round Rock,2,6,1
2250,2,1080.0,Austin,1.5,7,1
1525,0,298.0,Austin,1,3,1
1300,1,753.0,Austin,1,3,1
1103,0,400.0,Austin,1,7,1
1446,4,1236.0,"2500 Louis Henna Boulevard, Round Rock, TX",2,8,1
1165,1,705.0,Round Rock,1,6,1
1967,2,1084.0,Northwest/ Cedar Park,2,6,1
1710,1,759.0,East (Riverside),1,6,1
1523,1,623.0,Northeast/ Parmer ln (I-35),1,6,1
3235,2,1510.0,Downtown East Austin,2,9,1
900,0,244.0,Kyle,1,5,1
1938,2,1100.0,Austin,1,6,1
1395,1,739.0,"8617 Spicewood Springs Rd, Austin, TX",1,8,1
1666,2,860.0,Austin - Adjacent to Downtown ATX,1,6,1
2172,2,1232.0,Austin,2,6,1
2000,2,1010.0,Austin,2,3,1
2000,2,1010.0,Austin,2,3,1
1595,2,950.0,Round Rock,2,6,1
2000,2,1010.0,Austin,2,3,1
2499,1,891.0,Austin,1,3,1
2502,0,448.0,Austin,1,3,1
1999,1,759.0,Austin,1,3,1
1999,1,759.0,Austin,1,3,1
1890,1,768.0,Austin,1,3,1
2252,1,796.0,Austin,1,3,1
2312,1,868.0,Austin,1,3,1
1999,1,759.0,Austin,1,3,1
1671,1,591.0,Austin,1,0,1
1890,1,768.0,Austin,1,3,1
1380,1,753.0,Austin,1,3,1
1685,1,685.0,The Domain North Austin,1,9,1
1765,1,903.0,Southwet Austin Sunset Valley Oak Hill,1,9,1
1750,1,900.0,Crestview,2,7,1
1165,1,705.0,Round Rock,1,6,1
2125,2,1080.0,East Austin,2,9,1
1144,1,351.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
2040,1,750.0,South Lamar Barton Hills Zilker Galindo,1,9,1
899,0,288.0,"9220 N Interstate Hwy 35, Austin, TX",1,7,1
2340,1,865.0,Downtown East Austin,1,9,1
2201,4,1627.0,Linea Stillwater,2,7,1
2370,1,860.0,Downtown East Austin,1,9,1
1065,0,222.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
2450,2,1275.0,East Riverside Riverside Pleasant Valley,2,9,1
944,0,288.0,"9220 N Interstate Hwy 35, Austin, TX",1,7,1
2360,1,860.0,Downtown East Austin,1,9,1
2649,3,1529.0,Pflugerville,2.5,6,1
1579,1,800.0,Oak Hill,1,7,1
1655,1,693.0,The Domain North Austin,1,9,1
2675,2,1250.0,South Lamar Barton Hills Zilker Galindo,2,9,1
2299,3,1529.0,Georgetown,2.5,6,1
1575,1,804.0,"Kyle, Texas",1,7,1
3508,2,1156.0,Austin,2,8,1
2312,2,1251.0,"Detach Garages, 1st come 1st serve",2,8,1
2675,2,1250.0,South Lamar Barton Hills Zilker Galindo,2,9,1
1125,1,705.0,Round Rock,1,6,1
1765,1,903.0,Southwet Austin Sunset Valley Oak Hill,1,8,1
1465,1,768.0,South Austin Onion Creek Southpark Meadows,1,8,1
1225,2,920.0,Austin,1,6,1
1545,1,750.0,North Loop Hyde Park Muller Triangle,1,9,1
1999,1,785.0,East Riverside Riverside Pleasant Valley,1,9,1
3215,2,1199.0,Downtown East Austin,2,9,1
1310,1,705.0,Round Rock,1,6,1
1670,1,740.0,East Austin Govalle,1,9,1
2325,1,840.0,Downtown East Austin,1,9,1
1550,2,930.0,ROUND ROCK,2,6,1
1765,1,750.0,East Austin Govalle Airport,1,8,1
1760,1,648.0,NORTH CENTRAL (45th st),1,6,1
1507,1,683.0,Georgetown (30 mins to TESLA),1,6,1
2675,4,2033.0,Cedar Park,2.5,6,1
1923,2,978.0,North (The Domain),2,6,1
2440,2,1040.0,North Lamar North Central,2,8,1
3260,2,1570.0,Downtown East Austin,2,9,1
1695,2,930.0,ROUND ROCK,2,6,1
1125,1,705.0,Round Rock,1,6,1
2395,1,865.0,Downtown East Austin,1,9,1
1835,1,800.0,Sunset Valley South Austin Oak Hill South Lamar,1,9,1
3230,2,1570.0,Downtown East Austin,2,9,1
2083,1,880.0,Barton Hills 360 Barton Creek,1,9,1
1070,0,275.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
1215,1,502.0,Round Rock,1,5,1
2330,1,865.0,Downtown East Austin,1,9,1
1535,1,753.0,North Loop Hyde Park Muller Triangle East Austin,1,9,1
1595,2,950.0,Round Rock,2,6,1
1815,1,845.0,Sunset Valley South Austin Oak Hill South Lamar,1,9,1
2310,3,1607.0,Round Rock,2.5,5,1
1195,1,627.0,Round Rock,1,5,1
1575,2,900.0,South Central,2,6,1
1440,2,750.0,South Central,1,6,1
1700,2,1100.0,South Central near Lady Bird  Lake and SOCO,2,6,1
4450,2,1900.0,"1 month lease okay, 2 month lease okay, etc.....",2,5,1
1345,0,400.0,"South Austin, Barton Hill neighborhood",1,5,1
899,0,288.0,"9220 N Interstate Hwy 35, Austin, TX",1,7,1
1215,3,627.0,ROUND ROCK,2,6,1
1775,4,1236.0,"2500 Louis Henna Boulevard, Round Rock, TX",2,8,1
1695,3,930.0,ROUND ROCK,2,6,1
2745,2,1265.0,East 6th St East Cesar Chavez Rainey Street,2,9,1
1120,1,613.0,Round Rock,1,6,1
1670,2,1089.0,ROUND ROCK,2,6,1
2370,1,840.0,Downtown East Austin,1,9,1
1950,4,1636.0,Hutto,2,5,1
1695,2,930.0,ROUND ROCK,2,6,1
1625,1,695.0,The Domain North Austin,1,9,1
1645,1,623.0,The Domain North Austin,1,9,1
1315,2,807.0,"8617 Spicewood Springs Rd, Austin, TX",1,8,1
1427,1,720.0,Austin,1,6,1
1144,1,351.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
1452,1,650.0,Austin,1,6,1
1699,1,705.0,East Austin Govalle Airport,1,8,1
1495,2,1025.0,AUSTIN,2,7,1
1770,2,1000.0,Austin,1,8,1
2475,2,1155.0,East Austin Govalle Airport,2,8,1
1675,1,635.0,The Domain North Austin,1,9,1
2189,2,1068.0,Georgetown (30 mins to TESLA),2,6,1
2210,2,938.0,Southeast (Riverside),2,6,1
1815,2,925.0,Georgetown,2,6,1
1607,1,570.0,Southeast (15-20 mins to TESLA),1,6,1
3125,2,1560.0,Downtown East Austin,2,9,1
1532,1,615.0,Northwest,1,6,1
1528,1,627.0,Pflugerville,1,6,1
1565,1,730.0,East Riverside Riverside Pleasant Valley,1,9,1
