price,bedroom,sqft,bathroom,amenity_count,cityID
925,1,454.0,1.0,8,9
1195,2,659.0,1.0,8,9
1075,1,777.0,1.0,8,9
1075,1,777.0,1.0,8,9
1075,1,777.0,1.0,8,9
1145,2,546.0,1.0,8,9
1195,2,659.0,1.0,8,9
725,0,311.0,1.0,8,9
925,1,454.0,1.0,8,9
895,1,435.0,1.0,8,9
765,0,406.0,1.0,8,9
1095,1,744.0,1.0,8,9
1495,2,966.0,1.0,9,9
1145,2,546.0,1.0,8,9
1566,2,1140.0,2.0,8,9
1425,2,995.0,1.0,6,9
1425,2,995.0,1.0,6,9
1250,2,993.0,1.0,6,9
1550,2,1077.0,2.0,9,9
1795,3,1289.0,2.0,5,9
